0	OTHER	0	OTHER	0	OTHER	0	其它	OTHER
10000	US	100	US	10	US	1	美国	US
2300000	MU	23000	MU	2300	MU	230	毛里求斯	MU
2480000	SC	24800	SC	2480	SC	248	塞舌尔	SC
310000	NL	3100	NL	310	NL	31	荷兰	NL
330000	FR	3300	FR	330	FR	33	法国	FR
440000	GB	4400	GB	440	GB	44	英国	GB
490000	DE	4900	DE	490	DE	49	德国	DE
600000	MY	6000	MY	600	MY	60	马来西亚	MY
610000	AU	6100	AU	610	AU	61	澳大利亚	AU
620000	ID	6200	ID	620	ID	62	印度尼西亚	ID
630000	PH	6300	PH	630	PH	63	菲律宾	PH
640000	NZ	6400	NZ	640	NZ	64	新西兰	NZ
650000	SG	6500	SG	650	SG	65	新加坡	SG
660000	TH	6600	TH	660	TH	66	泰国	TH
6730000	BN	67300	BN	6730	BN	673	文莱	BN
6750000	PG	67500	PG	6750	PG	675	巴布亚新几内亚	PG
6790000	FJ	67900	FJ	6790	FJ	679	斐济	FJ
810000	JP	8100	JP	810	JP	81	日本	JP
820000	KR	8200	KR	820	KR	82	韩国	KR
840000	VN	8400	VN	840	VN	84	越南	VN
8550000	KH	85500	KH	8550	KH	855	柬埔寨	KH
8560000	LA	85600	LA	8560	LA	856	老挝	LA
861100	北京市	8611	北京市	865	华北地区	86	中国	CN
861200	天津市	8612	天津市	865	华北地区	86	中国	CN
861300	未知市	8613	河北省	865	华北地区	86	中国	CN
861301	石家庄市	8613	河北省	865	华北地区	86	中国	CN
861302	唐山市	8613	河北省	865	华北地区	86	中国	CN
861303	秦皇岛市	8613	河北省	865	华北地区	86	中国	CN
861304	邯郸市	8613	河北省	865	华北地区	86	中国	CN
861305	邢台市	8613	河北省	865	华北地区	86	中国	CN
861306	保定市	8613	河北省	865	华北地区	86	中国	CN
861307	张家口市	8613	河北省	865	华北地区	86	中国	CN
861308	承德市	8613	河北省	865	华北地区	86	中国	CN
861309	沧州市	8613	河北省	865	华北地区	86	中国	CN
861310	廊坊市	8613	河北省	865	华北地区	86	中国	CN
861311	衡水市	8613	河北省	865	华北地区	86	中国	CN
861400	未知市	8614	山西省	865	华北地区	86	中国	CN
861401	太原市	8614	山西省	865	华北地区	86	中国	CN
861402	大同市	8614	山西省	865	华北地区	86	中国	CN
861403	阳泉市	8614	山西省	865	华北地区	86	中国	CN
861404	长治市	8614	山西省	865	华北地区	86	中国	CN
861405	晋城市	8614	山西省	865	华北地区	86	中国	CN
861406	朔州市	8614	山西省	865	华北地区	86	中国	CN
861407	晋中市	8614	山西省	865	华北地区	86	中国	CN
861408	运城市	8614	山西省	865	华北地区	86	中国	CN
861409	忻州市	8614	山西省	865	华北地区	86	中国	CN
861410	临汾市	8614	山西省	865	华北地区	86	中国	CN
861411	吕梁市	8614	山西省	865	华北地区	86	中国	CN
861500	未知市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861501	呼和浩特市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861502	包头市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861503	乌海市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861504	赤峰市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861505	通辽市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861506	鄂尔多斯市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861507	呼伦贝尔市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861508	巴彦淖尔市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861509	乌兰察布市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861522	兴安市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861525	锡林郭勒市	8615	内蒙古自治区	865	华北地区	86	中国	CN
861529	阿拉善市	8615	内蒙古自治区	865	华北地区	86	中国	CN
862100	未知市	8621	辽宁省	867	东北地区	86	中国	CN
862101	沈阳市	8621	辽宁省	867	东北地区	86	中国	CN
862102	大连市	8621	辽宁省	867	东北地区	86	中国	CN
862103	鞍山市	8621	辽宁省	867	东北地区	86	中国	CN
862104	抚顺市	8621	辽宁省	867	东北地区	86	中国	CN
862105	本溪市	8621	辽宁省	867	东北地区	86	中国	CN
862106	丹东市	8621	辽宁省	867	东北地区	86	中国	CN
862107	锦州市	8621	辽宁省	867	东北地区	86	中国	CN
862108	营口市	8621	辽宁省	867	东北地区	86	中国	CN
862109	阜新市	8621	辽宁省	867	东北地区	86	中国	CN
862110	辽阳市	8621	辽宁省	867	东北地区	86	中国	CN
862111	盘锦市	8621	辽宁省	867	东北地区	86	中国	CN
862112	铁岭市	8621	辽宁省	867	东北地区	86	中国	CN
862113	朝阳市	8621	辽宁省	867	东北地区	86	中国	CN
862114	葫芦岛市	8621	辽宁省	867	东北地区	86	中国	CN
862200	未知市	8622	吉林省	867	东北地区	86	中国	CN
862201	长春市	8622	吉林省	867	东北地区	86	中国	CN
862202	吉林市	8622	吉林省	867	东北地区	86	中国	CN
862203	四平市	8622	吉林省	867	东北地区	86	中国	CN
862204	辽源市	8622	吉林省	867	东北地区	86	中国	CN
862205	通化市	8622	吉林省	867	东北地区	86	中国	CN
862206	白山市	8622	吉林省	867	东北地区	86	中国	CN
862207	松原市	8622	吉林省	867	东北地区	86	中国	CN
862208	白城市	8622	吉林省	867	东北地区	86	中国	CN
862224	延边市	8622	吉林省	867	东北地区	86	中国	CN
862300	未知市	8623	黑龙江省	867	东北地区	86	中国	CN
862301	哈尔滨市	8623	黑龙江省	867	东北地区	86	中国	CN
862302	齐齐哈尔市	8623	黑龙江省	867	东北地区	86	中国	CN
862303	鸡西市	8623	黑龙江省	867	东北地区	86	中国	CN
862304	鹤岗市	8623	黑龙江省	867	东北地区	86	中国	CN
862305	双鸭山市	8623	黑龙江省	867	东北地区	86	中国	CN
862306	大庆市	8623	黑龙江省	867	东北地区	86	中国	CN
862307	伊春市	8623	黑龙江省	867	东北地区	86	中国	CN
862308	佳木斯市	8623	黑龙江省	867	东北地区	86	中国	CN
862309	七台河市	8623	黑龙江省	867	东北地区	86	中国	CN
862310	牡丹江市	8623	黑龙江省	867	东北地区	86	中国	CN
862311	黑河市	8623	黑龙江省	867	东北地区	86	中国	CN
862312	绥化市	8623	黑龙江省	867	东北地区	86	中国	CN
862327	大兴安岭市	8623	黑龙江省	867	东北地区	86	中国	CN
863100	上海市	8631	上海市	861	华东地区	86	中国	CN
863200	未知市	8632	江苏省	861	华东地区	86	中国	CN
863201	南京市	8632	江苏省	861	华东地区	86	中国	CN
863202	无锡市	8632	江苏省	861	华东地区	86	中国	CN
863203	徐州市	8632	江苏省	861	华东地区	86	中国	CN
863204	常州市	8632	江苏省	861	华东地区	86	中国	CN
863205	苏州市	8632	江苏省	861	华东地区	86	中国	CN
863206	南通市	8632	江苏省	861	华东地区	86	中国	CN
863207	连云港市	8632	江苏省	861	华东地区	86	中国	CN
863208	淮安市	8632	江苏省	861	华东地区	86	中国	CN
863209	盐城市	8632	江苏省	861	华东地区	86	中国	CN
863210	扬州市	8632	江苏省	861	华东地区	86	中国	CN
863211	镇江市	8632	江苏省	861	华东地区	86	中国	CN
863212	泰州市	8632	江苏省	861	华东地区	86	中国	CN
863213	宿迁市	8632	江苏省	861	华东地区	86	中国	CN
863300	未知市	8633	浙江省	861	华东地区	86	中国	CN
863301	杭州市	8633	浙江省	861	华东地区	86	中国	CN
863302	宁波市	8633	浙江省	861	华东地区	86	中国	CN
863303	温州市	8633	浙江省	861	华东地区	86	中国	CN
863304	嘉兴市	8633	浙江省	861	华东地区	86	中国	CN
863305	湖州市	8633	浙江省	861	华东地区	86	中国	CN
863306	绍兴市	8633	浙江省	861	华东地区	86	中国	CN
863307	金华市	8633	浙江省	861	华东地区	86	中国	CN
863308	衢州市	8633	浙江省	861	华东地区	86	中国	CN
863309	舟山市	8633	浙江省	861	华东地区	86	中国	CN
863310	台州市	8633	浙江省	861	华东地区	86	中国	CN
863311	丽水市	8633	浙江省	861	华东地区	86	中国	CN
863400	未知市	8634	安徽省	861	华东地区	86	中国	CN
863401	合肥市	8634	安徽省	861	华东地区	86	中国	CN
863402	芜湖市	8634	安徽省	861	华东地区	86	中国	CN
863403	蚌埠市	8634	安徽省	861	华东地区	86	中国	CN
863404	淮南市	8634	安徽省	861	华东地区	86	中国	CN
863405	马鞍山市	8634	安徽省	861	华东地区	86	中国	CN
863406	淮北市	8634	安徽省	861	华东地区	86	中国	CN
863407	铜陵市	8634	安徽省	861	华东地区	86	中国	CN
863408	安庆市	8634	安徽省	861	华东地区	86	中国	CN
863410	黄山市	8634	安徽省	861	华东地区	86	中国	CN
863411	滁州市	8634	安徽省	861	华东地区	86	中国	CN
863412	阜阳市	8634	安徽省	861	华东地区	86	中国	CN
863413	宿州市	8634	安徽省	861	华东地区	86	中国	CN
863414	巢湖市	8634	安徽省	861	华东地区	86	中国	CN
863415	六安市	8634	安徽省	861	华东地区	86	中国	CN
863416	亳州市	8634	安徽省	861	华东地区	86	中国	CN
863417	池州市	8634	安徽省	861	华东地区	86	中国	CN
863418	宣城市	8634	安徽省	861	华东地区	86	中国	CN
863500	未知市	8635	福建省	861	华东地区	86	中国	CN
863501	福州市	8635	福建省	861	华东地区	86	中国	CN
863502	厦门市	8635	福建省	861	华东地区	86	中国	CN
863503	莆田市	8635	福建省	861	华东地区	86	中国	CN
863504	三明市	8635	福建省	861	华东地区	86	中国	CN
863505	泉州市	8635	福建省	861	华东地区	86	中国	CN
863506	漳州市	8635	福建省	861	华东地区	86	中国	CN
863507	南平市	8635	福建省	861	华东地区	86	中国	CN
863508	龙岩市	8635	福建省	861	华东地区	86	中国	CN
863509	宁德市	8635	福建省	861	华东地区	86	中国	CN
863600	未知市	8636	江西省	861	华东地区	86	中国	CN
863601	南昌市	8636	江西省	861	华东地区	86	中国	CN
863602	景德镇市	8636	江西省	861	华东地区	86	中国	CN
863603	萍乡市	8636	江西省	861	华东地区	86	中国	CN
863604	九江市	8636	江西省	861	华东地区	86	中国	CN
863605	新余市	8636	江西省	861	华东地区	86	中国	CN
863606	鹰潭市	8636	江西省	861	华东地区	86	中国	CN
863607	赣州市	8636	江西省	861	华东地区	86	中国	CN
863608	吉安市	8636	江西省	861	华东地区	86	中国	CN
863609	宜春市	8636	江西省	861	华东地区	86	中国	CN
863610	抚州市	8636	江西省	861	华东地区	86	中国	CN
863611	上饶市	8636	江西省	861	华东地区	86	中国	CN
863700	未知市	8637	山东省	861	华东地区	86	中国	CN
863701	济南市	8637	山东省	861	华东地区	86	中国	CN
863702	青岛市	8637	山东省	861	华东地区	86	中国	CN
863703	淄博市	8637	山东省	861	华东地区	86	中国	CN
863704	枣庄市	8637	山东省	861	华东地区	86	中国	CN
863705	东营市	8637	山东省	861	华东地区	86	中国	CN
863706	烟台市	8637	山东省	861	华东地区	86	中国	CN
863707	潍坊市	8637	山东省	861	华东地区	86	中国	CN
863708	济宁市	8637	山东省	861	华东地区	86	中国	CN
863709	泰安市	8637	山东省	861	华东地区	86	中国	CN
863710	威海市	8637	山东省	861	华东地区	86	中国	CN
863711	日照市	8637	山东省	861	华东地区	86	中国	CN
863712	莱芜市	8637	山东省	861	华东地区	86	中国	CN
863713	临沂市	8637	山东省	861	华东地区	86	中国	CN
863714	德州市	8637	山东省	861	华东地区	86	中国	CN
863715	聊城市	8637	山东省	861	华东地区	86	中国	CN
863716	滨州市	8637	山东省	861	华东地区	86	中国	CN
863717	菏泽市	8637	山东省	861	华东地区	86	中国	CN
864100	未知市	8641	河南省	863	华中地区	86	中国	CN
864101	郑州市	8641	河南省	863	华中地区	86	中国	CN
864102	开封市	8641	河南省	863	华中地区	86	中国	CN
864103	洛阳市	8641	河南省	863	华中地区	86	中国	CN
864104	平顶山市	8641	河南省	863	华中地区	86	中国	CN
864105	安阳市	8641	河南省	863	华中地区	86	中国	CN
864106	鹤壁市	8641	河南省	863	华中地区	86	中国	CN
864107	新乡市	8641	河南省	863	华中地区	86	中国	CN
864108	焦作市	8641	河南省	863	华中地区	86	中国	CN
864109	濮阳市	8641	河南省	863	华中地区	86	中国	CN
864110	许昌市	8641	河南省	863	华中地区	86	中国	CN
864111	漯河市	8641	河南省	863	华中地区	86	中国	CN
864112	三门峡市	8641	河南省	863	华中地区	86	中国	CN
864113	南阳市	8641	河南省	863	华中地区	86	中国	CN
864114	商丘市	8641	河南省	863	华中地区	86	中国	CN
864115	信阳市	8641	河南省	863	华中地区	86	中国	CN
864116	周口市	8641	河南省	863	华中地区	86	中国	CN
864117	驻马店市	8641	河南省	863	华中地区	86	中国	CN
864200	未知市	8642	湖北省	863	华中地区	86	中国	CN
864201	武汉市	8642	湖北省	863	华中地区	86	中国	CN
864202	黄石市	8642	湖北省	863	华中地区	86	中国	CN
864203	十堰市	8642	湖北省	863	华中地区	86	中国	CN
864205	宜昌市	8642	湖北省	863	华中地区	86	中国	CN
864206	襄樊市	8642	湖北省	863	华中地区	86	中国	CN
864207	鄂州市	8642	湖北省	863	华中地区	86	中国	CN
864208	荆门市	8642	湖北省	863	华中地区	86	中国	CN
864209	孝感市	8642	湖北省	863	华中地区	86	中国	CN
864210	荆州市	8642	湖北省	863	华中地区	86	中国	CN
864211	黄冈市	8642	湖北省	863	华中地区	86	中国	CN
864212	咸宁市	8642	湖北省	863	华中地区	86	中国	CN
864213	随州市	8642	湖北省	863	华中地区	86	中国	CN
864228	恩施州	8642	湖北省	863	华中地区	86	中国	CN
864290	省直辖行政单位	8642	湖北省	863	华中地区	86	中国	CN
864300	未知市	8643	湖南省	863	华中地区	86	中国	CN
864301	长沙市	8643	湖南省	863	华中地区	86	中国	CN
864302	株洲市	8643	湖南省	863	华中地区	86	中国	CN
864303	湘潭市	8643	湖南省	863	华中地区	86	中国	CN
864304	衡阳市	8643	湖南省	863	华中地区	86	中国	CN
864305	邵阳市	8643	湖南省	863	华中地区	86	中国	CN
864306	岳阳市	8643	湖南省	863	华中地区	86	中国	CN
864307	常德市	8643	湖南省	863	华中地区	86	中国	CN
864308	张家界市	8643	湖南省	863	华中地区	86	中国	CN
864309	益阳市	8643	湖南省	863	华中地区	86	中国	CN
864310	郴州市	8643	湖南省	863	华中地区	86	中国	CN
864311	永州市	8643	湖南省	863	华中地区	86	中国	CN
864312	怀化市	8643	湖南省	863	华中地区	86	中国	CN
864313	娄底市	8643	湖南省	863	华中地区	86	中国	CN
864331	湘西州	8643	湖南省	863	华中地区	86	中国	CN
864400	未知市	8644	广东省	862	华南地区	86	中国	CN
864401	广州市	8644	广东省	862	华南地区	86	中国	CN
864402	韶关市	8644	广东省	862	华南地区	86	中国	CN
864403	深圳市	8644	广东省	862	华南地区	86	中国	CN
864404	珠海市	8644	广东省	862	华南地区	86	中国	CN
864405	汕头市	8644	广东省	862	华南地区	86	中国	CN
864406	佛山市	8644	广东省	862	华南地区	86	中国	CN
864407	江门市	8644	广东省	862	华南地区	86	中国	CN
864408	湛江市	8644	广东省	862	华南地区	86	中国	CN
864409	茂名市	8644	广东省	862	华南地区	86	中国	CN
